Web Developer,"RJM Technologies, Inc.",Dice Id : RTL129100,Position Id : 283223,"Aurora, CO",https://www.dice.com/jobs/detail/Web-Developer-RJM-Technologies%2C-Inc.-Aurora-CO-80012/RTL129100/283223?icid=sr1-1p&q=web&l=aurora,2016-01-12 17:38:06 -0700
Web Developer,"RJM Technologies, Inc.",Dice Id : RTL129100,Position Id : 283223,"Aurora, CO",https://www.dice.com/jobs/detail/Web-Developer-RJM-Technologies%2C-Inc.-Aurora-CO-80012/RTL129100/283223?icid=sr1-1p&q=web&l=aurora,2016-01-12 17:38:07 -0700
Software/Web Developer,American Financing Corporation,Dice Id : 10523313,Position Id : 362292,"Aurora, CO",https://www.dice.com/jobs/detail/Software%26%2347Web-Developer-American-Financing-Corporation-Aurora-CO-80014/10523313/362292?icid=sr2-1p&q=web&l=aurora,I don't know
Senior Web Developer Drupal,TalenTrust,Dice Id : 10454578,Position Id : 2015-2262,"Aurora, CO",https://www.dice.com/jobs/detail/Senior-Web-Developer-Drupal-TalenTrust-Aurora-CO-80014/10454578/2015-2262?icid=sr3-1p&q=web&l=aurora,I don't know
Engineer Software 2,NORTHROP GRUMMAN,Dice Id : ngitbot,Position Id : 15013235,"Aurora, CO",https://www.dice.com/jobs/detail/Engineer-Software-2-NORTHROP-GRUMMAN-Aurora-CO-80010/ngitbot/15013235?icid=sr4-1p&q=web&l=aurora,2016-01-04 17:38:08 -0700
Junior Software Engineer,NORTHROP GRUMMAN,Dice Id : ngitbot,Position Id : 15020624,"Aurora, CO",https://www.dice.com/jobs/detail/Junior-Software-Engineer-NORTHROP-GRUMMAN-Aurora-CO-80010/ngitbot/15020624?icid=sr5-1p&q=web&l=aurora,2016-01-04 17:38:08 -0700
Senior Developer,Kforce Inc.,Dice Id : kforcecx,Position Id : ITEQG1493947,"Aurora, IL",https://www.dice.com/jobs/detail/Senior-Developer-Kforce-Inc.-Aurora-IL-60598/kforcecx/ITEQG1493947?icid=sr6-1p&q=web&l=aurora,I don't know
Embedded S/W Engineer,Lockheed Martin,Dice Id : lckmtncx,Position Id : 336690BR,"Aurora, CO",https://www.dice.com/jobs/detail/Embedded-S%26%2347W-Engineer-Lockheed-Martin-Aurora-CO-80010/lckmtncx/336690BR?icid=sr7-1p&q=web&l=aurora,2016-01-17 22:38:09 -0700
Software Engineer 2/3 - TS/SCI,NORTHROP GRUMMAN,Dice Id : ngitbot,Position Id : 15020623,"Aurora, CO",https://www.dice.com/jobs/detail/Software-Engineer-2%26%23473-%26%2345-TS%26%2347SCI-NORTHROP-GRUMMAN-Aurora-CO-80010/ngitbot/15020623?icid=sr9-1p&q=web&l=aurora,2016-01-04 17:38:10 -0700
"Software Engineer - .NET, C#",Transfirst,Dice Id : 10143991,Position Id : 288201,"Aurora, CO",http://www.dice.com/job/result/10143991/288201?icid=sr10-1p,2016-01-04 17:38:10 -0700
Sr. .Net Developer,Unite Here Health,Dice Id : 10330013,Position Id : 259836,"Aurora, IL",https://www.dice.com/jobs/detail/Sr.-.Net-Developer-Unite-Here-Health-Aurora-IL-60504/10330013/259836?icid=sr11-1p&q=web&l=aurora,2016-01-04 17:38:11 -0700
"Sr. Software Engineer - .NET, C# (Mobile)",Transfirst,Dice Id : 10143991,Position Id : 321975,"Aurora, CO",http://www.dice.com/job/result/10143991/321975?icid=sr13-1p,2016-01-18 09:38:11 -0700
Senior Account Executive- SAP,CDI Technology,Dice Id : 10511223,Position Id : 253039,"Aurora, IL",https://www.dice.com/jobs/detail/Senior-Account-Executive%26%2345-SAP-CDI-Technology-Aurora-IL-60504/10511223/253039?icid=sr14-1p&q=web&l=aurora,2016-01-13 17:38:12 -0700
Software Developer - 1931,Information Technology Engineering Corporation,Dice Id : infco001,Position Id : 1931,"Aurora, CO",http://www.dice.com/job/result/infco001/1931?icid=sr17-1p,2016-01-18 02:38:13 -0700
Sr. Software Engineer - 1866,Information Technology Engineering Corporation,Dice Id : infco001,Position Id : 1866,"Aurora, CO",http://www.dice.com/job/result/infco001/1866?icid=sr18-1p,2016-01-18 02:38:13 -0700
Java Coder - 1869,Information Technology Engineering Corporation,Dice Id : infco001,Position Id : 1869,"Aurora, CO",http://www.dice.com/job/result/infco001/1869?icid=sr19-1p,2016-01-18 02:38:13 -0700
Sr .NET Software Engineer (C#/ASP.NET),"VanderHouwen & Associates, Inc.",Dice Id : vhassoc,Position Id : 29420-1807-MH58,"Aurora, ON",https://www.dice.com/jobs/detail/Sr-.NET-Software-Engineer-%28C%23%26%2347ASP.NET%29-VanderHouwen-%26-Associates%2C-Inc.-Aurora-ON-/vhassoc/29420-1807-MH58?icid=sr20-1p&q=web&l=aurora,2016-01-18 14:38:14 -0700
Windows System Administrator/Developer - 1839,Information Technology Engineering Corporation,Dice Id : infco001,Position Id : 1839,"Aurora, CO",http://www.dice.com/job/result/infco001/1839?icid=sr21-1p,2016-01-18 02:38:14 -0700
Web Developer,"RJM Technologies, Inc.",Dice Id : RTL129100,Position Id : 283223,"Aurora, CO",https://www.dice.com/jobs/detail/Web-Developer-RJM-Technologies%2C-Inc.-Aurora-CO-80012/RTL129100/283223?icid=sr1-1p&q=web&l=aurora,2016-01-12 17:38:15 -0700
Software/Web Developer,American Financing Corporation,Dice Id : 10523313,Position Id : 362292,"Aurora, CO",https://www.dice.com/jobs/detail/Software%26%2347Web-Developer-American-Financing-Corporation-Aurora-CO-80014/10523313/362292?icid=sr2-1p&q=web&l=aurora,I don't know
Senior Web Developer Drupal,TalenTrust,Dice Id : 10454578,Position Id : 2015-2262,"Aurora, CO",https://www.dice.com/jobs/detail/Senior-Web-Developer-Drupal-TalenTrust-Aurora-CO-80014/10454578/2015-2262?icid=sr3-1p&q=web&l=aurora,I don't know
Engineer Software 2,NORTHROP GRUMMAN,Dice Id : ngitbot,Position Id : 15013235,"Aurora, CO",https://www.dice.com/jobs/detail/Engineer-Software-2-NORTHROP-GRUMMAN-Aurora-CO-80010/ngitbot/15013235?icid=sr4-1p&q=web&l=aurora,2016-01-04 17:38:16 -0700
Junior Software Engineer,NORTHROP GRUMMAN,Dice Id : ngitbot,Position Id : 15020624,"Aurora, CO",https://www.dice.com/jobs/detail/Junior-Software-Engineer-NORTHROP-GRUMMAN-Aurora-CO-80010/ngitbot/15020624?icid=sr5-1p&q=web&l=aurora,2016-01-04 17:38:16 -0700
Senior Developer,Kforce Inc.,Dice Id : kforcecx,Position Id : ITEQG1493947,"Aurora, IL",https://www.dice.com/jobs/detail/Senior-Developer-Kforce-Inc.-Aurora-IL-60598/kforcecx/ITEQG1493947?icid=sr6-1p&q=web&l=aurora,I don't know
Embedded S/W Engineer,Lockheed Martin,Dice Id : lckmtncx,Position Id : 336690BR,"Aurora, CO",https://www.dice.com/jobs/detail/Embedded-S%26%2347W-Engineer-Lockheed-Martin-Aurora-CO-80010/lckmtncx/336690BR?icid=sr7-1p&q=web&l=aurora,2016-01-17 22:38:17 -0700
Software Engineer 2/3 - TS/SCI,NORTHROP GRUMMAN,Dice Id : ngitbot,Position Id : 15020623,"Aurora, CO",https://www.dice.com/jobs/detail/Software-Engineer-2%26%23473-%26%2345-TS%26%2347SCI-NORTHROP-GRUMMAN-Aurora-CO-80010/ngitbot/15020623?icid=sr9-1p&q=web&l=aurora,2016-01-04 17:38:17 -0700
"Software Engineer - .NET, C#",Transfirst,Dice Id : 10143991,Position Id : 288201,"Aurora, CO",http://www.dice.com/job/result/10143991/288201?icid=sr10-1p,2016-01-04 17:38:18 -0700
Sr. .Net Developer,Unite Here Health,Dice Id : 10330013,Position Id : 259836,"Aurora, IL",https://www.dice.com/jobs/detail/Sr.-.Net-Developer-Unite-Here-Health-Aurora-IL-60504/10330013/259836?icid=sr11-1p&q=web&l=aurora,2016-01-04 17:38:18 -0700
"Sr. Software Engineer - .NET, C# (Mobile)",Transfirst,Dice Id : 10143991,Position Id : 321975,"Aurora, CO",http://www.dice.com/job/result/10143991/321975?icid=sr13-1p,2016-01-18 09:38:18 -0700
Senior Account Executive- SAP,CDI Technology,Dice Id : 10511223,Position Id : 253039,"Aurora, IL",https://www.dice.com/jobs/detail/Senior-Account-Executive%26%2345-SAP-CDI-Technology-Aurora-IL-60504/10511223/253039?icid=sr14-1p&q=web&l=aurora,2016-01-13 17:38:19 -0700
